Environment              	  Seed       Control  Tau    Error Q_bias    Episode  Reward  Gain   Feedback
Pendulum-v0                   341002883  kalman   0.5    0     0.2       16       -926    1.3980 0.0800
Pendulum-v0                   341002883  kalman   0.5    0     0.2       17       -1330   1.2505 0.0600
Pendulum-v0                   341002883  kalman   0.5    0     0.2       18       -780    1.6246 0.0950
Pendulum-v0                   341002883  kalman   0.5    0     0.2       19       -1016   1.3561 0.0750
Pendulum-v0                   341002883  kalman   0.5    0     0.2       20       -657    1.6811 0.0900
Pendulum-v0                   341002883  kalman   0.5    0     0.2       21       -392    2.1574 0.0650
Pendulum-v0                   341002883  kalman   0.5    0     0.2       22       -513    2.0554 0.0500
Pendulum-v0                   341002883  kalman   0.5    0     0.2       23       -399    2.1548 0.0750
Pendulum-v0                   341002883  kalman   0.5    0     0.2       24       -795    1.4108 0.0700
Pendulum-v0                   341002883  kalman   0.5    0     0.2       25       -639    1.6061 0.0350
Pendulum-v0                   341002883  kalman   0.5    0     0.2       26       -324    2.3154 0.0200
Pendulum-v0                   341002883  kalman   0.5    0     0.2       27       -578    1.9694 0.0500
Pendulum-v0                   341002883  kalman   0.5    0     0.2       28       -130    2.6296 0.0150
Pendulum-v0                   341002883  kalman   0.5    0     0.2       29       -130    2.7651 0.0250
Pendulum-v0                   341002883  kalman   0.5    0     0.2       30       -240    2.5467 0.0200
Pendulum-v0                   341002883  kalman   0.5    0     0.2       31       -131    2.3973 0.0250
Pendulum-v0                   341002883  kalman   0.5    0     0.2       32       -260    2.5965 0.0800
Pendulum-v0                   341002883  kalman   0.5    0     0.2       33       -124    2.6231 0.0550
Pendulum-v0                   341002883  kalman   0.5    0     0.2       34       -367    2.2630 0.0450
Pendulum-v0                   341002883  kalman   0.5    0     0.2       35       -254    2.2338 0.0150
Pendulum-v0                   341002883  kalman   0.5    0     0.2       36       -123    2.6331 0.0150
Pendulum-v0                   341002883  kalman   0.5    0     0.2       37       -122    2.7891 0.1750
Pendulum-v0                   341002883  kalman   0.5    0     0.2       38       -129    2.8145 0.1250
Pendulum-v0                   341002883  kalman   0.5    0     0.2       39       0       2.9593 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       40       -120    2.7924 0.0650
Pendulum-v0                   341002883  kalman   0.5    0     0.2       41       -245    2.6929 0.0100
Pendulum-v0                   341002883  kalman   0.5    0     0.2       42       -357    2.5240 0.0950
Pendulum-v0                   341002883  kalman   0.5    0     0.2       43       -126    2.5731 0.0650
Pendulum-v0                   341002883  kalman   0.5    0     0.2       44       -356    2.4004 0.0750
Pendulum-v0                   341002883  kalman   0.5    0     0.2       45       -115    2.8931 0.0900
Pendulum-v0                   341002883  kalman   0.5    0     0.2       46       -119    2.8517 0.0300
